Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_login_testops,Chrome 122.0.6261.70,,,05-03-2024 10:14:48,05-03-2024 10:16:22,1m - 33.376s,FAILED
,,,,,,,
Test Cases/Login testops,Chrome 122.0.6261.70,,,05-03-2024 10:14:48,05-03-2024 10:16:22,1m - 33.140s,FAILED
"openBrowser("""")",Chrome 122.0.6261.70,,,05-03-2024 10:14:49,05-03-2024 10:14:54,5.315s,PASSED
"navigateToUrl(""https://testops.katalon.io/"")",Chrome 122.0.6261.70,,,05-03-2024 10:14:54,05-03-2024 10:15:03,8.627s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in  Katalon Software Quality Mana_cfddb7/div_Continue with email""))",Chrome 122.0.6261.70,,,05-03-2024 10:15:03,05-03-2024 10:15:11,8.323s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in  Katalon Software Quality Mana_cfddb7/input_Log in with email_username""), ""kataloniglo@gmail.com"")",Chrome 122.0.6261.70,,,05-03-2024 10:15:11,05-03-2024 10:15:11,0.432s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in  Katalon Software Quality Mana_cfddb7/form_Log in with email_form_sign_up""))",Chrome 122.0.6261.70,,,05-03-2024 10:15:11,05-03-2024 10:15:43,31.768s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign in  Katalon Software Quality Mana_cfddb7/input_Log in with email_password""), ""1uQHKmaGceAjclSD1WUvrw=="")",Chrome 122.0.6261.70,,,05-03-2024 10:15:43,05-03-2024 10:15:43,0.299s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in  Katalon Software Quality Mana_cfddb7/input_Log in with email_login""))",Chrome 122.0.6261.70,,,05-03-2024 10:15:43,05-03-2024 10:15:47,3.885s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in  Katalon Software Quality Mana_cfddb7/input_Log in with email_login""))",Chrome 122.0.6261.70,,,05-03-2024 10:15:47,05-03-2024 10:16:22,34.234s,FAILED
